ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector
MMM,Industrials,31.59929,3.6502006,31.13557,1.82,6350125056.0,0.328,-4.203959573333339
AOS,Industrials,17.389973,2.2299592,4.6067,1.68,484612512.0,-0.15,-18.413276573333338
ABT,Healthcare,36.97735,4.2441473,3.8683684,2.3,7209124864.0,-0.475,3.8108769038461574
ABBV,Healthcare,73.96327,7.186101,-77.94879,0.44,16870250496.0,2.904,40.79679690384615
ACN,Technology,14.473265,1.5181231,3.479404,1.33,12089380864.0,0.09,-37.39608494736842
ADBE,Technology,15.564322,4.294287,9.430145,0.66,9218374656.0,0.079,-36.305027947368416
AMD,Technology,119.75893,18.554012,11.397028,1.0,8841499648.0,1.595,67.88958005263159
AES,Utilities,5.531835,0.807223,2.1313133,0.81,-3089125120.0,,-15.069134645161288
AFL,Financial Services,12.531822,3.223258,1.924874,1.18,5152249856.0,0.468,-6.646323288235296
A,Healthcare,31.448694,6.1039977,6.193533,1.39,930625024.0,0.6,-1.7177790961538442
ABNB,Consumer Cyclical,42.237442,8.418219,13.9950075,2.0,3206874880.0,0.334,-1.330787595744681
AKAM,Technology,39.88768,3.6600435,3.328999,1.34,710060096.0,-0.268,-11.981669947368417
ALB,Basic Materials,497.0,2.6803243,1.9693279,0.79,1334340224.0,,436.7697938
ALGN,Healthcare,27.59375,2.727621,2.6754422,0.77,584361344.0,-0.121,-5.572723096153844
ALLE,Industrials,21.223097,3.2067504,6.492954,2.33,484449984.0,0.162,-14.58015257333334
LNT,Utilities,21.981012,4.0663614,2.3920379,2.32,-1138625024.0,-0.04,1.3800423548387108
ALL,Financial Services,5.095896,0.9176677,2.0397303,3.11,15158625280.0,0.612,-14.082249288235296
GOOGL,Communication Services,17.101908,9.344449,6.693454,0.93,22665000960.0,2.94,-31.455200155
GOOG,Communication Services,16.977913,9.276698,6.644923,0.93,22665000960.0,2.94,-31.579195155
MO,Consumer Defensive,14.092632,5.4672594,-41.889862,2.6,9035249664.0,-0.027,-11.85909888
AMZN,Consumer Cyclical,20.909164,3.6169913,5.084643,1.42,3219124992.0,2.423,-22.659065595744682
AMCR,Consumer Cyclical,20.088236,0.9403875,1.8732859,1.07,1504000000.0,,-23.479993595744684
AEE,Utilities,19.15317,3.580761,2.2001336,2.9,-1786249984.0,0.119,-1.4477996451612896
AEP,Utilities,21.785095,3.002534,2.1330752,2.15,-5995950080.0,-0.432,1.1841253548387094
AXP,Financial Services,20.081867,3.1535661,6.520626,1.58,,0.11,0.9037217117647032
AIG,Financial Services,13.822992,1.4813254,0.9788592,0.62,7365000192.0,-0.101,-5.355153288235297
AMT,Real Estate,24.137362,7.4832973,22.011776,1.63,2920012544.0,1.385,-30.543061267857137
AWK,Utilities,23.779898,5.1604104,2.3375585,2.69,-1785374976.0,0.086,3.1789283548387104
AMP,Financial Services,13.2243185,2.4359202,7.6012177,1.79,2903124992.0,0.117,-5.953826788235295
AME,Industrials,35.004395,6.97003,4.867462,3.11,1492221312.0,0.142,-0.7988545733333368
AMGN,Healthcare,26.93975,6.159547,20.061518,2.32,8645624832.0,0.649,-6.226723096153844
APH,Technology,38.373432,6.507125,12.182528,1.09,3818374912.0,0.593,-13.495917947368419
AON,Financial Services,19.390083,4.2472153,7.773336,2.96,3190874880.0,-0.03,0.21193771176470477
APA,Energy,9.364979,1.814291,2.2170613,0.83,2146749952.0,0.263,-10.475332619047618
APO,Financial Services,46.256226,2.1562672,3.8181124,0.61,,0.637,27.078080711764702
AAPL,Technology,35.74053,9.7321,42.296192,2.55,107721875456.0,0.287,-16.12881994736842
AMAT,Technology,42.73988,12.775906,15.374437,1.0,3195375104.0,0.428,-9.12946994736842
APP,Communication Services,23.715052,15.189069,32.72949,0.88,3179956224.0,0.57,-24.842056155
APTV,Consumer Cyclical,21.280542,0.47592333,1.1195487,0.95,1615874944.0,-0.353,-22.287687595744682
ACGL,Financial Services,7.7707353,1.7620354,1.4536432,1.05,4302125056.0,-0.071,-11.407409988235296
ADM,Consumer Defensive,22.322403,0.47961724,1.6705174,1.05,1164625024.0,3.156,-3.629327879999998
ARES,Financial Services,64.32568,7.725037,12.712356,1.35,2159716096.0,0.065,45.147534711764706
ANET,Technology,58.333332,21.986002,15.660956,1.76,3891512576.0,0.357,6.463982052631579
AJG,Financial Services,43.124584,4.404572,2.8055024,0.85,2082300032.0,-0.107,23.946438711764703
AIZ,Financial Services,13.492824,1.0336725,2.2836967,2.16,2149574912.0,0.305,-5.685321288235295
T,Communication Services,8.310231,1.356055,1.5682611,1.67,10142000128.0,0.062,-40.246877155
ATO,Utilities,20.324196,5.8550806,1.8885394,2.07,-2220956928.0,0.233,-0.27677364516128833
ADSK,Technology,36.591835,7.060302,16.608442,0.96,3060999936.0,2.314,-15.277514947368417
ADP,Technology,25.49863,5.0538893,18.41633,2.57,5243049984.0,0.098,-26.37071994736842
AVY,Consumer Cyclical,19.98687,1.4970618,5.9695444,1.92,1004600000.0,0.108,-23.581359595744683
AXON,Industrials,257.01254,15.501511,13.579908,2.96,222160000.0,-0.182,221.20929042666666
BKR,Energy,20.186495,2.2477934,3.1292992,2.22,4415000064.0,-0.042,0.34618338095238244
BALL,Consumer Cyclical,17.939829,1.1568531,2.8832605,1.21,379875008.0,0.092,-25.628400595744683
BAC,Financial Services,14.286374,3.7967842,1.5723655,1.08,,0.341,-4.8917712882352955
