ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector,price,above_sma50,above_sma200,rsi,macd_bullish,volume_today,avg_volume_30d,volume_spike,fundamentals_score,technicals_score,score,headline_count,sentiment_score,sentiment_norm,macro_adjustment,growth_score,value_score,growth_composite,momentum_score,confidence_pct,sources_present,ai_summary
HIG,Financial Services,9.531769,1.2906545,1.9425483,0.12,5507500032.0,0.361,-10.003902430882352,138.02000427246094,True,True,45.01411046643489,False,895300.0,1597583.3333333333,False,100.0,50,72.20878860890667,10.0,-0.054928213357925415,33.543943044533364,3,72.24669603524228,77.53159145668,63.92708152912293,49.24038006558668,100.0,4,"HIG trades at an attractive PEG ratio of 0.12, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages, and recent news sentiment has been roughly neutral."
MCHP,Technology,116.42647,8.392714,6.664141,0.24,1364762496.0,,61.21312195066667,79.16999816894531,False,True,51.49799114169349,True,8245700.0,10715660.0,False,49.9580008399832,50,58.57390068660178,10.0,0.3635916352272034,92.9640015430467,0,27.863436123348016,56.41940073544693,38.800805440648276,65.03320062406466,100.0,4,"MCHP trades at an attractive PEG ratio of 0.24, and is priced above its sector's average P/E, and is trading above its 200-day average and showing bullish MACD momentum, and recent news sentiment has been notably positive."
GPN,Industrials,44.09953,2.4123988,1.069233,0.27,7867763200.0,-0.952,-14.639695680000003,93.05000305175781,True,True,74.19229378704384,True,2498100.0,3414466.6666666665,False,44.39777871109244,75,57.55586123348118,10.0,0.1077066719532013,56.63430406744791,0,0.4405286343612335,53.88381283677265,20.97180045079765,65.51178429471601,100.0,4,"GPN trades at an attractive PEG ratio of 0.27, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
COF,Financial Services,12.532525,2.8989744,1.354351,0.24,,,-7.003146430882353,227.33999633789062,True,True,76.5228564601299,True,2972000.0,3849126.6666666665,False,49.9580008399832,75,55.801873322614085,10.0,-0.042180192470550534,35.35386472310821,0,27.863436123348016,54.02788021245615,38.03979175865443,58.61965273708619,100.0,4,"COF trades at an attractive PEG ratio of 0.24, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
SW,Consumer Cyclical,52.393616,0.8246426,1.4322689,0.26,1215000064.0,,8.348459106382982,49.25,True,True,48.71506756821735,True,4917700.0,5166420.0,False,46.10861628921267,75,55.26737101014072,10.0,0.0,41.34246839997507,0,27.863436123348016,52.61654003352386,38.63865212634112,60.33072556891254,100.0,4,"SW trades at an attractive PEG ratio of 0.26, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
RVTY,Healthcare,56.173077,4.4775414,1.8035595,0.72,604992128.0,0.012,23.30775924509804,116.83999633789062,True,True,69.3256911597523,True,774500.0,1411860.0,False,16.596668066638667,75,50.7185006299874,4.0,0.41314905881881714,100.0,-3,31.167400881057265,43.7080008399832,46.81718061674009,77.90966680666386,100.0,4,"RVTY trades at an attractive PEG ratio of 0.72, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been notably positive."
J,Industrials,48.059803,1.190699,5.1905274,0.44,645677888.0,-0.254,-10.679422680000002,144.66000366210938,True,True,64.62921395993993,True,958600.0,954843.3333333334,False,27.21163758543011,75,47.870709748641225,10.0,0.1446356952190399,61.87736417598839,-3,10.022026431718063,44.358587177656325,28.20315491980148,65.62824122013895,100.0,4,"J trades at an attractive PEG ratio of 0.44, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
GM,Consumer Cyclical,38.736607,0.42300493,1.2273679,0.34,21933750272.0,-0.262,-5.30854989361702,86.7699966430664,True,True,49.16921762319712,False,3493600.0,6548260.0,False,35.23976579291943,50,46.59949595485129,10.0,0.17513818740844728,66.20800674018776,0,9.691629955947137,43.57506048677982,23.404941643181772,54.19677893835765,100.0,4,"GM trades at an attractive PEG ratio of 0.34, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages, and recent news sentiment has been notably positive."
ZBRA,Technology,34.498165,3.0426247,5.2431016,0.7,576750016.0,1.215,-20.715183049333326,376.0299987792969,True,True,90.0296527480556,True,573400.0,788613.3333333334,False,17.073258534829304,75,46.50307170222733,10.0,0.25714123249053955,77.85052680777072,-3,90.52863436123349,40.67153414206319,86.1550967336405,70.20501023620268,100.0,4,"ZBRA trades at an attractive PEG ratio of 0.70, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been notably positive."
FDS,Financial Services,18.68754,4.1347737,4.9906693,1.3,621161344.0,-0.096,-0.8481314308823542,283.489990234375,True,True,59.91431965381094,True,1324500.0,880603.3333333334,True,9.154524601815655,100,44.388029750812066,10.0,0.0,41.34246839997507,-3,17.180616740088105,36.694085021085655,36.16067855805918,70.38531640017285,100.0,4,"FDS has a reasonable PEG ratio of 1.30, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum and seeing an unusual volume spike, and recent news sentiment has been roughly neutral."
